content,cleaning,case_folding,hasil_normalisasi,token,stopword_removal,stemming
mudah cepat murah,mudah cepat murah,mudah cepat murah,mudah cepat murah,"['mudah', 'cepat', 'murah']","['mudah', 'cepat', 'murah']",mudah cepat murah
harga tiket pesawat mahal semua.,harga tiket pesawat mahal semua ,harga tiket pesawat mahal semua ,harga tiket pesawat mahal semua,"['harga', 'tiket', 'pesawat', 'mahal', 'semua']","['harga', 'tiket', 'pesawat', 'mahal']",harga tiket pesawat mahal
"pake data seluler bisa di pake, pake wifi gabisa di pake ini apk",pake data seluler bisa di pake  pake wifi gabisa di pake ini apk,pake data seluler bisa di pake  pake wifi gabisa di pake ini apk,pakai data seluler bisa di pakai pakai wifi tidak bisa di pakai ini aplikasi,"['pakai', 'data', 'seluler', 'bisa', 'di', 'pakai', 'pakai', 'wifi', 'tidak', 'bisa', 'di', 'pakai', 'ini', 'aplikasi']","['pakai', 'data', 'seluler', 'pakai', 'pakai', 'wifi', 'pakai', 'aplikasi']",pakai data seluler pakai pakai wifi pakai aplikasi
"mudah, cepat dan banyak diskonnya",mudah  cepat dan banyak diskonnya,mudah  cepat dan banyak diskonnya,mudah cepat dan banyak diskonnya,"['mudah', 'cepat', 'dan', 'banyak', 'diskonnya']","['mudah', 'cepat', 'diskonnya']",mudah cepat diskon
cepat dan tepat..bravo,cepat dan tepat  bravo,cepat dan tepat  bravo,cepat dan tepat bravo,"['cepat', 'dan', 'tepat', 'bravo']","['cepat', 'bravo']",cepat bravo
Fast responnya,Fast responnya,fast responnya,fast responnya,"['fast', 'responnya']","['fast', 'responnya']",fast responnya
mantffff,mantffff,mantffff,mantffff,['mantffff'],['mantffff'],mantffff
sangat membantu dan memudahkan,sangat membantu dan memudahkan,sangat membantu dan memudahkan,sangat membantu dan memudahkan,"['sangat', 'membantu', 'dan', 'memudahkan']","['membantu', 'memudahkan']",bantu mudah
Terimakasih Terbaik,Terimakasih Terbaik,terimakasih terbaik,terima kasih terbaik,"['terima', 'kasih', 'terbaik']","['terima', 'kasih', 'terbaik']",terima kasih baik
mudah cepat tuntas,mudah cepat tuntas,mudah cepat tuntas,mudah cepat tuntas,"['mudah', 'cepat', 'tuntas']","['mudah', 'cepat', 'tuntas']",mudah cepat tuntas
"Amazing, l love it",Amazing  l love it,amazing  l love it,amazing l love itu,"['amazing', 'l', 'love', 'itu']","['amazing', 'l', 'love']",amazing l love
lebih mahal,lebih mahal,lebih mahal,lebih mahal,"['lebih', 'mahal']",['mahal'],mahal
pembayaran cepat,pembayaran cepat,pembayaran cepat,pembayaran cepat,"['pembayaran', 'cepat']","['pembayaran', 'cepat']",bayar cepat
"edit : tolong dong ini kenapa tiketnya ga terdaftar pas mau dicetak, ternyata emang internet di stasiun nya yg ga stabil😑",edit   tolong dong ini kenapa tiketnya ga terdaftar pas mau dicetak  ternyata emang internet di stasiun nya yg ga stabil,edit   tolong dong ini kenapa tiketnya ga terdaftar pas mau dicetak  ternyata emang internet di stasiun nya yg ga stabil,edit tolong dong ini kenapa tiketnya tidak terdaftar pas mau dicetak ternyata memang internet di stasiun nya yang tidak stabil,"['edit', 'tolong', 'dong', 'ini', 'kenapa', 'tiketnya', 'tidak', 'terdaftar', 'pas', 'mau', 'dicetak', 'ternyata', 'memang', 'internet', 'di', 'stasiun', 'nya', 'yang', 'tidak', 'stabil']","['edit', 'tolong', 'tiketnya', 'terdaftar', 'pas', 'dicetak', 'internet', 'stasiun', 'nya', 'stabil']",edit tolong tiket daftar pas cetak internet stasiun nya stabil
"Saya booking hotel lewat Traveloka untuk 4D3N, booking yg big privat , dan bayar harganya untuk yg big privat . Tapi dari pihak Traveloka di bookingkan ke pihak hotelnya yg small privat, dan itu bner² small untuk ukuran berdua, sudah komplain terkait kamar yg salah, katanya mau difollow up ,sampe checkout gak ada konfirmasi² apapun, disuruh nunggu 1jam , eh sampe sekarang blm ada konfirmasi apapun terkait hotel.",Saya booking hotel lewat Traveloka untuk DN  booking yg big privat   dan bayar harganya untuk yg big privat   Tapi dari pihak Traveloka di bookingkan ke pihak hotelnya yg small privat  dan itu bner  small untuk ukuran berdua  sudah komplain terkait kamar yg salah  katanya mau difollow up  sampe checkout gak ada konfirmasi  apapun  disuruh nunggu jam   eh sampe sekarang blm ada konfirmasi apapun terkait hotel ,saya booking hotel lewat traveloka untuk dn  booking yg big privat   dan bayar harganya untuk yg big privat   tapi dari pihak traveloka di bookingkan ke pihak hotelnya yg small privat  dan itu bner  small untuk ukuran berdua  sudah komplain terkait kamar yg salah  katanya mau difollow up  sampe checkout gak ada konfirmasi  apapun  disuruh nunggu jam   eh sampe sekarang blm ada konfirmasi apapun terkait hotel ,saya booking hotel lewat traveloka untuk dan booking yang big privat dan bayar harganya untuk yang big privat tapi dari pihak traveloka di bookingkan ke pihak hotelnya yang small privat dan itu benar small untuk ukuran berdua sudah komplain terkait kamar yang salah katanya mau difollow up sampai checkout tidak ada konfirmasi apapun disuruh menunggu jam eh sampai sekarang belum ada konfirmasi apapun terkait hotel,"['saya', 'booking', 'hotel', 'lewat', 'traveloka', 'untuk', 'dan', 'booking', 'yang', 'big', 'privat', 'dan', 'bayar', 'harganya', 'untuk', 'yang', 'big', 'privat', 'tapi', 'dari', 'pihak', 'traveloka', 'di', 'bookingkan', 'ke', 'pihak', 'hotelnya', 'yang', 'small', 'privat', 'dan', 'itu', 'benar', 'small', 'untuk', 'ukuran', 'berdua', 'sudah', 'komplain', 'terkait', 'kamar', 'yang', 'salah', 'katanya', 'mau', 'difollow', 'up', 'sampai', 'checkout', 'tidak', 'ada', 'konfirmasi', 'apapun', 'disuruh', 'menunggu', 'jam', 'eh', 'sampai', 'sekarang', 'belum', 'ada', 'konfirmasi', 'apapun', 'terkait', 'hotel']","['booking', 'hotel', 'traveloka', 'booking', 'big', 'privat', 'bayar', 'harganya', 'big', 'privat', 'traveloka', 'bookingkan', 'hotelnya', 'small', 'privat', 'small', 'ukuran', 'berdua', 'komplain', 'terkait', 'kamar', 'salah', 'difollow', 'up', 'checkout', 'konfirmasi', 'apapun', 'disuruh', 'menunggu', 'jam', 'eh', 'konfirmasi', 'apapun', 'terkait', 'hotel']",booking hotel traveloka booking big privat bayar harga big privat traveloka bookingkan hotel small privat small ukur dua komplain kait kamar salah difollow up checkout konfirmasi apa suruh tunggu jam eh konfirmasi apa kait hotel
ok bangetss,ok bangetss,ok bangetss,ok bangetss,"['ok', 'bangetss']","['ok', 'bangetss']",ok bangetss
pembayaran jadi lebih mudah dan praktis terimaksih traveloka,pembayaran jadi lebih mudah dan praktis terimaksih traveloka,pembayaran jadi lebih mudah dan praktis terimaksih traveloka,pembayaran jadi lebih mudah dan praktis terima kasih traveloka,"['pembayaran', 'jadi', 'lebih', 'mudah', 'dan', 'praktis', 'terima', 'kasih', 'traveloka']","['pembayaran', 'mudah', 'praktis', 'terima', 'kasih', 'traveloka']",bayar mudah praktis terima kasih traveloka
"Tolong lakukan verifikasi hotel yang bonafide. Informasi yang tertera pada info hotel tidak akurat, mulai dari harga, pelayanan, hingga fasilitas. Terkesan penipuan dan tdk dapat dipercaya. Saya mengalaminya dan ini parah.",Tolong lakukan verifikasi hotel yang bonafide  Informasi yang tertera pada info hotel tidak akurat  mulai dari harga  pelayanan  hingga fasilitas  Terkesan penipuan dan tdk dapat dipercaya  Saya mengalaminya dan ini parah ,tolong lakukan verifikasi hotel yang bonafide  informasi yang tertera pada info hotel tidak akurat  mulai dari harga  pelayanan  hingga fasilitas  terkesan penipuan dan tdk dapat dipercaya  saya mengalaminya dan ini parah ,tolong lakukan verifikasi hotel yang bonafide informasi yang tertera pada info hotel tidak akurat mulai dari harga pelayanan hingga fasilitas terkesan penipuan dan tidak dapat dipercaya saya mengalaminya dan ini parah,"['tolong', 'lakukan', 'verifikasi', 'hotel', 'yang', 'bonafide', 'informasi', 'yang', 'tertera', 'pada', 'info', 'hotel', 'tidak', 'akurat', 'mulai', 'dari', 'harga', 'pelayanan', 'hingga', 'fasilitas', 'terkesan', 'penipuan', 'dan', 'tidak', 'dapat', 'dipercaya', 'saya', 'mengalaminya', 'dan', 'ini', 'parah']","['tolong', 'lakukan', 'verifikasi', 'hotel', 'bonafide', 'informasi', 'tertera', 'info', 'hotel', 'akurat', 'harga', 'pelayanan', 'fasilitas', 'terkesan', 'penipuan', 'dipercaya', 'mengalaminya', 'parah']",tolong laku verifikasi hotel bonafide informasi tera info hotel akurat harga layan fasilitas kes tipu percaya alam parah
bututttt .,bututttt  ,bututttt  ,bututttt,['bututttt'],['bututttt'],bututttt
penginapan paling nyaman,penginapan paling nyaman,penginapan paling nyaman,penginapann paling nyaman,"['penginapann', 'paling', 'nyaman']","['penginapann', 'nyaman']",penginapann nyaman
terimakasih sdh membantu,terimakasih sdh membantu,terimakasih sdh membantu,terima kasih sudah membantu,"['terima', 'kasih', 'sudah', 'membantu']","['terima', 'kasih', 'membantu']",terima kasih bantu
mantap sekalii,mantap sekalii,mantap sekalii,mantap sekali,"['mantap', 'sekali']",['mantap'],mantap
Aplikasi Ini Isinya Penuh Dengan Tiket Membosankan 😒😒,Aplikasi Ini Isinya Penuh Dengan Tiket Membosankan ,aplikasi ini isinya penuh dengan tiket membosankan ,aplikasi ini isinya penuh dengan tiket membosankan,"['aplikasi', 'ini', 'isinya', 'penuh', 'dengan', 'tiket', 'membosankan']","['aplikasi', 'isinya', 'penuh', 'tiket', 'membosankan']",aplikasi isi penuh tiket bosan
bagus sangat membantu perjalanan,bagus sangat membantu perjalanan,bagus sangat membantu perjalanan,bagus sangat membantu perjalanan,"['bagus', 'sangat', 'membantu', 'perjalanan']","['bagus', 'membantu', 'perjalanan']",bagus bantu jalan
nogood,nogood,nogood,nogood,['nogood'],['nogood'],nogood
saya sudah tf tapi tiket boking hotel ga muncul. sudah hubungi cs tapi ga ada respon. dan sayapun sudah email tetap ga ada respon,saya sudah tf tapi tiket boking hotel ga muncul  sudah hubungi cs tapi ga ada respon  dan sayapun sudah email tetap ga ada respon,saya sudah tf tapi tiket boking hotel ga muncul  sudah hubungi cs tapi ga ada respon  dan sayapun sudah email tetap ga ada respon,saya sudah tf tapi tiket boking hotel tidak muncul sudah hubungi cs tapi tidak ada respon dan sayapun sudah email tetap tidak ada respon,"['saya', 'sudah', 'tf', 'tapi', 'tiket', 'boking', 'hotel', 'tidak', 'muncul', 'sudah', 'hubungi', 'cs', 'tapi', 'tidak', 'ada', 'respon', 'dan', 'sayapun', 'sudah', 'email', 'tetap', 'tidak', 'ada', 'respon']","['tf', 'tiket', 'boking', 'hotel', 'muncul', 'hubungi', 'cs', 'respon', 'sayapun', 'email', 'respon']",tf tiket boking hotel muncul hubung cs respon saya email respon
"terima kasih, sangat membantu",terima kasih  sangat membantu,terima kasih  sangat membantu,terima kasih sangat membantu,"['terima', 'kasih', 'sangat', 'membantu']","['terima', 'kasih', 'membantu']",terima kasih bantu
good àpp,good  pp,good  pp,good pp,"['good', 'pp']","['good', 'pp']",good pp
"tolong dong jangan munculin iklan kalian di hp gw dikit² muncul iklan kalian aja buka ini itu langsung muncul iklan kalian tolong dong gw udah muak liat iklan kalian, terimakasih🙏",tolong dong jangan munculin iklan kalian di hp gw dikit  muncul iklan kalian aja buka ini itu langsung muncul iklan kalian tolong dong gw udah muak liat iklan kalian  terimakasih,tolong dong jangan munculin iklan kalian di hp gw dikit  muncul iklan kalian aja buka ini itu langsung muncul iklan kalian tolong dong gw udah muak liat iklan kalian  terimakasih,tolong dong jangan munculin iklan kalian di hp saya dikit muncul iklan kalian saja buka ini itu langsung muncul iklan kalian tolong dong saya sudah muak lihat iklan kalian terima kasih,"['tolong', 'dong', 'jangan', 'munculin', 'iklan', 'kalian', 'di', 'hp', 'saya', 'dikit', 'muncul', 'iklan', 'kalian', 'saja', 'buka', 'ini', 'itu', 'langsung', 'muncul', 'iklan', 'kalian', 'tolong', 'dong', 'saya', 'sudah', 'muak', 'lihat', 'iklan', 'kalian', 'terima', 'kasih']","['tolong', 'munculin', 'iklan', 'hp', 'dikit', 'muncul', 'iklan', 'buka', 'langsung', 'muncul', 'iklan', 'tolong', 'muak', 'lihat', 'iklan', 'terima', 'kasih']",tolong munculin iklan hp dikit muncul iklan buka langsung muncul iklan tolong muak lihat iklan terima kasih
sulit refund hotel,sulit refund hotel,sulit refund hotel,sulit refund hotel,"['sulit', 'refund', 'hotel']","['sulit', 'refund', 'hotel']",sulit refund hotel
parah. mau instal KAI Access.. brubah terus,parah  mau instal KAI Access   brubah terus,parah  mau instal kai access   brubah terus,parah mau instal kai access berubah terus,"['parah', 'mau', 'instal', 'kai', 'access', 'berubah', 'terus']","['parah', 'instal', 'kai', 'access', 'berubah']",parah instal kai access ubah
goodaplikasi,goodaplikasi,goodaplikasi,goodaplikasi,['goodaplikasi'],['goodaplikasi'],goodaplikasi
mantap pakai traveloka..,mantap pakai traveloka  ,mantap pakai traveloka  ,mantap pakai traveloka,"['mantap', 'pakai', 'traveloka']","['mantap', 'pakai', 'traveloka']",mantap pakai traveloka
kemudahan untuk pembelian tiket pesawat,kemudahan untuk pembelian tiket pesawat,kemudahan untuk pembelian tiket pesawat,kemudahan untuk pembelian tiket pesawat,"['kemudahan', 'untuk', 'pembelian', 'tiket', 'pesawat']","['kemudahan', 'pembelian', 'tiket', 'pesawat']",mudah beli tiket pesawat
goodlah,goodlah,goodlah,goodlah,['goodlah'],['goodlah'],goodlah
"transaksi mudah, cepat dan memuaskan",transaksi mudah  cepat dan memuaskan,transaksi mudah  cepat dan memuaskan,transaksi mudah cepat dan memuaskan,"['transaksi', 'mudah', 'cepat', 'dan', 'memuaskan']","['transaksi', 'mudah', 'cepat', 'memuaskan']",transaksi mudah cepat muas
nasabah diamond harga malah lebih mahal dari akun yang lain,nasabah diamond harga malah lebih mahal dari akun yang lain,nasabah diamond harga malah lebih mahal dari akun yang lain,nasabah diamond harga malah lebih mahal dari akun yang lain,"['nasabah', 'diamond', 'harga', 'malah', 'lebih', 'mahal', 'dari', 'akun', 'yang', 'lain']","['nasabah', 'diamond', 'harga', 'mahal', 'akun']",nasabah diamond harga mahal akun
harga tiket pesawat tidak sesuai dengan yang tertera padahal selang detik saja,harga tiket pesawat tidak sesuai dengan yang tertera padahal selang detik saja,harga tiket pesawat tidak sesuai dengan yang tertera padahal selang detik saja,harga tiket pesawat tidak sesuai dengan yang tertera padahal selang detik saja,"['harga', 'tiket', 'pesawat', 'tidak', 'sesuai', 'dengan', 'yang', 'tertera', 'padahal', 'selang', 'detik', 'saja']","['harga', 'tiket', 'pesawat', 'sesuai', 'tertera', 'selang', 'detik']",harga tiket pesawat sesuai tera selang detik
aplikasi penipuan pesan hotel di cordella inn sidoarjo bisa double bed namun dr pihak hotel menerima voucher yg twin bed..saya dirugikan yg jelas2 harga berbeda,aplikasi penipuan pesan hotel di cordella inn sidoarjo bisa double bed namun dr pihak hotel menerima voucher yg twin bed  saya dirugikan yg jelas harga berbeda,aplikasi penipuan pesan hotel di cordella inn sidoarjo bisa double bed namun dr pihak hotel menerima voucher yg twin bed  saya dirugikan yg jelas harga berbeda,aplikasi penipuan pesan hotel di cordella inn sidoarjo bisa double bed namun dari pihak hotel menerima voucher yang twin bed saya dirugikan yang jelas harga berbeda,"['aplikasi', 'penipuan', 'pesan', 'hotel', 'di', 'cordella', 'inn', 'sidoarjo', 'bisa', 'double', 'bed', 'namun', 'dari', 'pihak', 'hotel', 'menerima', 'voucher', 'yang', 'twin', 'bed', 'saya', 'dirugikan', 'yang', 'jelas', 'harga', 'berbeda']","['aplikasi', 'penipuan', 'pesan', 'hotel', 'cordella', 'inn', 'sidoarjo', 'double', 'bed', 'hotel', 'menerima', 'voucher', 'twin', 'bed', 'dirugikan', 'harga', 'berbeda']",aplikasi tipu pesan hotel cordella inn sidoarjo double bed hotel terima voucher twin bed rugi harga beda
Pemesanan lumayan cepat,Pemesanan lumayan cepat,pemesanan lumayan cepat,pemesanan lumayan cepat,"['pemesanan', 'lumayan', 'cepat']","['pemesanan', 'lumayan', 'cepat']",mesan lumayan cepat
Reliable partner for travelers. Deserved a 7 stars!,Reliable partner for travelers  Deserved a  stars ,reliable partner for travelers  deserved a  stars ,reliable partner for travelers deserved a stars,"['reliable', 'partner', 'for', 'travelers', 'deserved', 'a', 'stars']","['reliable', 'partner', 'for', 'travelers', 'deserved', 'a', 'stars']",reliable partner for travelers deserved a stars
so far so good👍,so far so good,so far so good,sok far sok good,"['sok', 'far', 'sok', 'good']","['sok', 'far', 'sok', 'good']",sok far sok good
😎keren,keren,keren,keren,['keren'],['keren'],keren
sangat bagus dan membantu sekali,sangat bagus dan membantu sekali,sangat bagus dan membantu sekali,sangat bagus dan membantu sekali,"['sangat', 'bagus', 'dan', 'membantu', 'sekali']","['bagus', 'membantu']",bagus bantu
iklan terus datang,iklan terus datang,iklan terus datang,iklan terus datang,"['iklan', 'terus', 'datang']",['iklan'],iklan
Terima kasih dg traveloka kami bisa pergi kemana saja,Terima kasih dg traveloka kami bisa pergi kemana saja,terima kasih dg traveloka kami bisa pergi kemana saja,terima kasih dengan traveloka kami bisa pergi kemana saja,"['terima', 'kasih', 'dengan', 'traveloka', 'kami', 'bisa', 'pergi', 'kemana', 'saja']","['terima', 'kasih', 'traveloka', 'pergi', 'kemana']",terima kasih traveloka pergi mana
"perlu di perbaiki untuk masalah bisa refund, karna sebagaian orang tidak tau maksudnya, dan ketika tidak jadi menginap menjadi ribet,",perlu di perbaiki untuk masalah bisa refund  karna sebagaian orang tidak tau maksudnya  dan ketika tidak jadi menginap menjadi ribet ,perlu di perbaiki untuk masalah bisa refund  karna sebagaian orang tidak tau maksudnya  dan ketika tidak jadi menginap menjadi ribet ,perlu di perbaiki untuk masalah bisa refund karena sebagaian orang tidak tau maksudnya dan ketika tidak jadi menginap menjadi ribet,"['perlu', 'di', 'perbaiki', 'untuk', 'masalah', 'bisa', 'refund', 'karena', 'sebagaian', 'orang', 'tidak', 'tau', 'maksudnya', 'dan', 'ketika', 'tidak', 'jadi', 'menginap', 'menjadi', 'ribet']","['perbaiki', 'refund', 'sebagaian', 'orang', 'tau', 'maksudnya', 'menginap', 'ribet']",baik refund bagai orang tau maksud inap ribet
